% Model:              step3_flat_w_validate.mph
% Version:            COMSOL 5.4.0.295
% Date:               Sep 29 2020, 13:09
% Table:              Probe Table 1 - 
% Time (s)                                        Current through Ampère meter 1 (A)
0.07646676937474788                               1.1481005650900511E-6
0.0777864553287675                                1.2661360965910644E-6
0.07910614128278713                               1.245721613888401E-6
0.08042582723680676                               1.0893024402004402E-6
0.08174551319082639                               8.139372986231085E-7
0.08306519914484602                               4.497189983070269E-7
0.08438488509886564                               4.232140457937078E-8
0.08538199040741179                               -2.7411066096489766E-7
0.08637909571595793                               -5.754674815705274E-7
0.08737620102450408                               -8.3762890495639E-7
0.08837330633305022                               -1.0467955799166153E-6
0.08937041164159637                               -1.1983372825326852E-6
0.09036751695014252                               -1.2748251871523463E-6
0.09136462225868866                               -1.260464800047341E-6
0.0923617275672348                                -1.166503652219058E-6
0.09335883287578095                               -1.0099797015350294E-6
0.0943559381843271                                -7.90955040550023E-7
0.09535304349287324                               -5.131967221745701E-7
0.09635014880141939                               -2.1101652493499624E-7
0.09720405967608621                               6.19311501534069E-8
0.09805797055075303                               3.3789787648891324E-7
0.0986686900076564                                5.087388862862371E-7
0.09927940946455978                               6.907496096219597E-7
0.09982905697577281                               8.332494576060339E-7
0.10037870448698584                               9.573504722538681E-7
0.10092835199819887                               1.0667137037553212E-6
0.1014779995094119                                1.1528816376894583E-6
0.10202764702062493                               1.2171598628889937E-6
0.10257729453183796                               1.258032583977507E-6
0.10367658955426402                               1.2682279937081352E-6
0.10477588457669008                               1.1843422155145583E-6
0.10587517959911615                               1.0097075958679817E-6
0.1069744746215422                                7.586311194752694E-7
0.10807376964396827                               4.4999486320253075E-7
0.10917306466639433                               1.1057516368988648E-7
0.11027235968882039                               -2.389930261177202E-7
0.11137165471124645                               -5.731697509092158E-7
0.11247094973367251                               -8.616750672305627E-7
0.11357024475609857                               -1.084377125591566E-6
0.11466953977852463                               -1.2272107194946798E-6
0.1157688348009507                                -1.2773488909445067E-6
0.11750859159014274                               -1.1506587959820316E-6
0.11924834837933478                               -8.111091110827775E-7
0.12098810516852682                               -3.2574826615596293E-7
