% Model,COMSOL_plot_Vext.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 16 2020, 15:23"
% Dimension,2
% Nodes,40401
% Expressions,1
% Description,Electric potential
% Length unit,m
% R,Z,V (V)
5.3000E-5,2.0000E-6,0.014304
5.4000E-5,2.0000E-6,0.013961
5.5000E-5,2.0000E-6,0.013631
5.6000E-5,2.0000E-6,0.013313
5.7000E-5,2.0000E-6,0.013007
5.8000E-5,2.0000E-6,0.012712
5.9000E-5,2.0000E-6,0.012427
6.0000E-5,2.0000E-6,0.012152
6.1000E-5,2.0000E-6,0.011886
6.2000E-5,2.0000E-6,0.011629
6.3000E-5,2.0000E-6,0.011381
6.4000E-5,2.0000E-6,0.011141
6.5000E-5,2.0000E-6,0.010909
6.6000E-5,2.0000E-6,0.010684
6.7000E-5,2.0000E-6,0.010465
6.8000E-5,2.0000E-6,0.010254
6.9000E-5,2.0000E-6,0.010049
7.0000E-5,2.0000E-6,0.0098499
7.1000E-5,2.0000E-6,0.0096568
7.2000E-5,2.0000E-6,0.0094693
7.3000E-5,2.0000E-6,0.0092872
7.4000E-5,2.0000E-6,0.0091102
7.5000E-5,2.0000E-6,0.0089381
7.6000E-5,2.0000E-6,0.0087708
7.7000E-5,2.0000E-6,0.0086081
7.8000E-5,2.0000E-6,0.0084497
7.9000E-5,2.0000E-6,0.0082955
8.0000E-5,2.0000E-6,0.0081454
8.1000E-5,2.0000E-6,0.0079991
8.2000E-5,2.0000E-6,0.0078566
8.3000E-5,2.0000E-6,0.0077178
8.4000E-5,2.0000E-6,0.0075824
8.5000E-5,2.0000E-6,0.0074504
8.6000E-5,2.0000E-6,0.0073216
8.7000E-5,2.0000E-6,0.0071960
8.8000E-5,2.0000E-6,0.0070734
8.9000E-5,2.0000E-6,0.0069537
9.0000E-5,2.0000E-6,0.0068368
9.1000E-5,2.0000E-6,0.0067227
9.2000E-5,2.0000E-6,0.0066112
9.3000E-5,2.0000E-6,0.0065023
9.4000E-5,2.0000E-6,0.0063958
9.5000E-5,2.0000E-6,0.0062917
9.6000E-5,2.0000E-6,0.0061900
9.7000E-5,2.0000E-6,0.0060905
9.8000E-5,2.0000E-6,0.0059932
9.9000E-5,2.0000E-6,0.0058980
1.0000E-4,2.0000E-6,0.0058048
1.0100E-4,2.0000E-6,0.0057137
1.0200E-4,2.0000E-6,0.0056244
1.0300E-4,2.0000E-6,0.0055371
1.0400E-4,2.0000E-6,0.0054516
1.0500E-4,2.0000E-6,0.0053678
1.0600E-4,2.0000E-6,0.0052858
1.0700E-4,2.0000E-6,0.0052054
1.0800E-4,2.0000E-6,0.0051266
1.0900E-4,2.0000E-6,0.0050495
1.1000E-4,2.0000E-6,0.0049738
1.1100E-4,2.0000E-6,0.0048997
1.1200E-4,2.0000E-6,0.0048270
1.1300E-4,2.0000E-6,0.0047557
1.1400E-4,2.0000E-6,0.0046859
1.1500E-4,2.0000E-6,0.0046173
1.1600E-4,2.0000E-6,0.0045501
1.1700E-4,2.0000E-6,0.0044841
1.1800E-4,2.0000E-6,0.0044194
1.1900E-4,2.0000E-6,0.0043559
1.2000E-4,2.0000E-6,0.0042936
1.2100E-4,2.0000E-6,0.0042324
1.2200E-4,2.0000E-6,0.0041724
1.2300E-4,2.0000E-6,0.0041134
1.2400E-4,2.0000E-6,0.0040555
1.2500E-4,2.0000E-6,0.0039987
1.2600E-4,2.0000E-6,0.0039429
1.2700E-4,2.0000E-6,0.0038881
1.2800E-4,2.0000E-6,0.0038342
1.2900E-4,2.0000E-6,0.0037813
1.3000E-4,2.0000E-6,0.0037294
1.3100E-4,2.0000E-6,0.0036783
1.3200E-4,2.0000E-6,0.0036281
1.3300E-4,2.0000E-6,0.0035788
1.3400E-4,2.0000E-6,0.0035303
1.3500E-4,2.0000E-6,0.0034827
1.3600E-4,2.0000E-6,0.0034358
1.3700E-4,2.0000E-6,0.0033898
1.3800E-4,2.0000E-6,0.0033446
1.3900E-4,2.0000E-6,0.0033001
1.4000E-4,2.0000E-6,0.0032562
1.4100E-4,2.0000E-6,0.0032132
1.4200E-4,2.0000E-6,0.0031709
1.4300E-4,2.0000E-6,0.0031293
